Date,SP500
2017-10-16,2557.64
2017-10-17,2559.36
2017-10-18,2561.26
2017-10-19,2562.1
2017-10-20,2575.21
2017-10-23,2564.98
2017-10-24,2569.13
2017-10-25,2557.15
2017-10-26,2560.4
2017-10-27,2581.07
2017-10-30,2572.83
2017-10-31,2575.26
2017-11-01,2579.36
2017-11-02,2579.85
2017-11-03,2587.84
2017-11-06,2591.13
2017-11-07,2590.64
2017-11-08,2594.38
2017-11-09,2584.62
2017-11-10,2582.3
2017-11-13,2584.84
2017-11-14,2578.87
2017-11-15,2564.62
2017-11-16,2585.64
2017-11-17,2578.85
2017-11-20,2582.14
2017-11-21,2599.03
2017-11-22,2597.08
2017-11-24,2602.42
2017-11-27,2601.42
2017-11-28,2627.04
2017-11-29,2626.07
2017-11-30,2647.58
2017-12-01,2642.22
2017-12-04,2639.44
2017-12-05,2629.57
2017-12-06,2629.27
2017-12-07,2636.98
2017-12-08,2651.5
2017-12-11,2659.99
2017-12-12,2664.11
2017-12-13,2662.85
2017-12-14,2652.01
2017-12-15,2675.81
2017-12-18,2690.16
2017-12-19,2681.47
2017-12-20,2679.25
2017-12-21,2684.57
2017-12-22,2683.34
2017-12-26,2680.5
2017-12-27,2682.62
2017-12-28,2687.54
2017-12-29,2673.61
